%Station,OS X,OS Y,Latitude,Longitude,Zone,Postcode
Willesden Green,523350,184884,51.549373313232,-0.22239318421442,"2,3",NW2 4QT
Willesden Junction,521905,182942,51.532233992929,-0.2438947288224,"3",NW10 4RA
Wimbledon,524791,170647,51.421107869794,-0.20664845638008,"3",SW19 1PS
Wimbledon Chase,524306,169347,51.409530957999,-0.21407539384331,"3",SW20 8DB
Wimbledon Park,525274,172158,51.434580976538,-0.19917189150183,"3",SW19 7DZ
Winchmore Hill,531529,194494,51.633886871044,-0.10090248655044,"4",N21 3NG
Wood Green,531038,190427,51.597453741251,-0.10951215426353,"3",N22 8HH
Wood Lane,523314,180464,51.509658221839,-0.2244582012666,"2",W12 7DS
Wood Street,538521,189426,51.586669943719,-0.0019394662016431,"4",E17 3NZ
Woodford,540952,191778,51.607201839663,0.034070640659794,"4",IG8 7QE
Woodgrange Park,541861,185332,51.549052529247,0.044586916011772,"3,4",E7 8AA
Woodmansterne,528720,159385,51.319018597795,-0.154247780889,"6",CR5 3HS
Woodside Park,525725,192564,51.617868422141,-0.185411063095,"4",N12 8SE
Woolwich Arsenal,543754,178803,51.489907107526,0.069208307647642,"4",SE18 6HX
Woolwich Dockyard,542738,178908,51.491107787563,0.054626749936269,"3",SE18 5JY
Worcester Park,522192,166133,51.381104516868,-0.24556092484593,"4",KT4 7ND
